Genera	0_Rhamnoid	0_Ziziphoid	1_Ventilageneae	1_restofRham	1_Gouaniae	1_restofZizi	2_Rhamnus	2_RestofRham	2_Colubrina	2_RestofZizi	3_ScutnSage	3_RestofRham	3_CeanAlp	3_RestofZizi	4_Berchemia	4_RestofRham	4_Hovenia	4_RestofZizi	5_Krugiodendron	5_RestofRham	6_Alphitonia	6_Bercemia	6_Ceanothus	6_Colubrina	6-Gouania	6_Hovenia	6_Karwinskia	6_Krugiodendron	6_Paliurus	6_Rhamnella	6_Rhamnus	6_Sageretia	6_Scutia	6_Ventilago	6_Ziziphus
Sageretia thea (45)	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Scutia eberhardtia (46)	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Scutia myrtina (47)	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Ventilago calyculata (48)	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Ventilago calyculata var. trichoclada (49)	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Ventilago cristata (50)	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Ventilago denticulate (51)	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Ventilago inaequilateralis (52)	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Ventilago leiocarpa (53)	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Ventilago leiocarpa var. pubescens (54)	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Ventilago maderaspatana (55)	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Ventilago oblongifolia (56)	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Ventilago pauciflora (57)	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Ziziphus apetala (58)	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
