cluster.index	CF_componentindex	CF_kingdom	CF_superclass	CF_class	CF_subclass	CF_directparent	CF_substituents	CF_score	CF_kingdom_scores	CF_superclass_scores	CF_class_scores	CF_subclass_scores	CF_directparent_scores	CF_substituents_scores
712	4	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.95	1	0.484	0.428	0.239	0.22	0.025;0.027;0.028;0.024;0.024;0.034;0.022;0.031;0.033;0.033
27	4	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.95	1	0.484	0.428	0.239	0.22	0.025;0.027;0.028;0.024;0.024;0.034;0.022;0.031;0.033;0.033
1672	4	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.95	1	0.484	0.428	0.239	0.22	0.025;0.027;0.028;0.024;0.024;0.034;0.022;0.031;0.033;0.033
1695	4	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.95	1	0.484	0.428	0.239	0.22	0.025;0.027;0.028;0.024;0.024;0.034;0.022;0.031;0.033;0.033
1009	4	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.95	1	0.484	0.428	0.239	0.22	0.025;0.027;0.028;0.024;0.024;0.034;0.022;0.031;0.033;0.033
352	4	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.95	1	0.484	0.428	0.239	0.22	0.025;0.027;0.028;0.024;0.024;0.034;0.022;0.031;0.033;0.033
1101	4	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.95	1	0.484	0.428	0.239	0.22	0.025;0.027;0.028;0.024;0.024;0.034;0.022;0.031;0.033;0.033
515	4	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Alcohol;Benzenoid;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Monocyclic benzene moiety;Organic oxide;Organic oxygen compound;Organooxygen compound	0.95	1	0.484	0.428	0.239	0.22	0.025;0.027;0.028;0.024;0.024;0.034;0.022;0.031;0.033;0.033
1621	112	Organic compounds	Phenylpropanoids and polyketides	Flavonoids;Isoflavonoids	Flavones	Flavones	Aromatic heteropolycyclic compound;Benzenoid;Heteroaromatic compound;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Oxacycle;Polyol;Pyranone	1	1	0.812	0.312	0.312	0.25	0.042;0.042;0.04;0.045;0.045;0.045;0.045;0.042;0.04;0.037
703	112	Organic compounds	Phenylpropanoids and polyketides	Flavonoids;Isoflavonoids	Flavones	Flavones	Aromatic heteropolycyclic compound;Benzenoid;Heteroaromatic compound;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Oxacycle;Polyol;Pyranone	1	1	0.812	0.312	0.312	0.25	0.042;0.042;0.04;0.045;0.045;0.045;0.045;0.042;0.04;0.037
1911	82	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid-7-O-glycosides	Carboxylic acid derivative;Carboxylic acid ester;Glycosyl compound;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Oxane	1	1	0.96	0.92	0.92	0.56	0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023
535	82	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid-7-O-glycosides	Carboxylic acid derivative;Carboxylic acid ester;Glycosyl compound;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Oxane	1	1	0.96	0.92	0.92	0.56	0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023
1507	82	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid-7-O-glycosides	Carboxylic acid derivative;Carboxylic acid ester;Glycosyl compound;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Oxane	1	1	0.96	0.92	0.92	0.56	0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023
550	82	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid-7-O-glycosides	Carboxylic acid derivative;Carboxylic acid ester;Glycosyl compound;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Oxane	1	1	0.96	0.92	0.92	0.56	0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023
456	82	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid-7-O-glycosides	Carboxylic acid derivative;Carboxylic acid ester;Glycosyl compound;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Oxane	1	1	0.96	0.92	0.92	0.56	0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023;0.023
