	Alphitonia.philippinensis	Berchemia.floribunda	Berchemia.giraldiana	Berchemia.hirtella	Berchemia.huana	Berchemia.kulingensis	Berchemia.lineata	Berchemia.loureiroana	Berchemia.sinica	Berchemia.yunnanensis	Ceanothus.asiaticus	Colubrina.arborescens	Colubrina.asiatica	Colubrina.pubescens	Colubrina.spinosa	Gouania.leptostachya	Guoania.javanica	Gouania.hypoglauca	Gouania.polygama	Hovenia.acerba	Hovenia.acerba var. kiukiangensis	Karwinskia.calderonii	Krugiodendron.ferreum	Paliurus.perforatus	Rhamnella.franguloides	Rhamnella.tonkinensis	Rhamnus.crenata	Rhamnus.davurica	Rhamnus.diamantiaca	Rhamnus.erythroxylon	Rhamnus.globosa	Rhamnus.hainanensis	Rhamnus.koraiensis	Rhamnus.leptophylla	Rhamnus.longipes	Rhamnus.napalensis	Rhamnus.oreodendron	Rhamnus.parvifolia	Rhamnus.rosthornii	Rhamnus.sphaerosperma	Rhamnus.subapetala	Rhamnus.utilis	Sageretia.pauciflora	Sageretia.thea	Scutia.eberhardtia	Scutia.myrtina	Ventilago.calyculata	Ventilago.calyculata var. trichoclada	Ventilago.cristata	Ventilago.denticulate	Ventilago.inaequilateralis	Ventilago.leiocarpa	Ventilago.leiocarpa var. pubescens	Ventilago.maderaspatana	Ventilago.oblongifolia	Ventilago.pauciflora	Ziziphus.apetala	Ziziphus.attopensis	Ziziphus.cambodiana	Ziziphus.funiculosa	Ziziphus.guatemalensis	Ziziphus.horsfieldii	Ziziphus.incurva	Ziziphus.mauritiana	Ziziphus.oenopolia	Ziziphus.poilaneo	Ziziphus.rotundifolia	Ziziphus.rugosa	Ziziphus.rugosa var. harmandii	Ziziphus.thyrsiflora
Rhamnus.davurica	0.481078569960305	0.142838290050873	0.140489230666632	0.191684052479474	0.0608443485025084	0.167437427620654	0.372904545861912	0.0515317705287506	0.207358619010082	0.183832808693964	0.424642061598935	0.302595877030884	0.358212259519937	0.224751998243037	0.68877674704138	0.547045274024566	0.434926323857307	0.484537171549387	0.616382033930045	0.364042280790793	0.356077973550831	0.112399484855582	0.439568604383283	0.302274603179627	0.0710295295842208	0.155909023455088	0.184987046708369	0	0.208979045597517	0.236434304682533	0.0939927535349726	0.228180947084852	0.115049806046192	0.15380897490078	0.132178402651161	0.199998795760013	0.180369293002433	0.226397110305334	0.333487554510593	0.297883564726661	0.235174196062689	0.0973393659145517	0.129775745023832	0.241407782255308	0.47718016022946	0.0736935224078998	0.178080413724911	0.143763914768939	0.260125746113084	0.0738584227831357	0.131993930029753	0.0696843926815007	0.156914186959426	0.095839993323633	0.131299864034552	0.245221092123941	0.486492025193253	0.373928033748614	0.260630033570792	0.31127198149716	0.500606431933853	0.521317648662283	0.552476044706874	0.323175944874001	0.205654914400579	0.280641962240464	0.340290917937694	0.38956950087369	0.225821441500354	0.426840070104383
Rhamnus.diamantiaca	0.405703136273626	0.268995185382749	0.280230862673736	0.268642215474344	0.161536224794953	0.256696275271987	0.280309994166153	0.225951090045957	0.20597897382153	0.351598970137365	0.433115050988713	0.534164265724665	0.374416566574929	0.253160637767974	0.634068971709958	0.472854753256611	0.344065217883568	0.399861914953704	0.55090921228668	0.367614461767718	0.306894744374659	0.421595647100162	0.336956111285851	0.461692914787421	0.248462460777654	0.192008494750224	0.243773258139035	0.208979045597517	0	0.444591759985311	0.177382376299543	0.0254746478737141	0.243001675587186	0.323775992498973	0.266302644550636	0.30239423501408	0.258865118691154	0.11691809772123	0.411180719522935	0.180526188305889	0.0310079230260687	0.217126489354813	0.175426769120576	0.319971630215489	0.382779399719996	0.18975152671197	0.156164906193966	0.208501098971127	0.0739449143075039	0.160134172336858	0.113261321268486	0.155724115850415	0.133375961573528	0.211395679912342	0.129383901815224	0.0826718243356739	0.389602888337369	0.261387828070925	0.303307640461723	0.273046186704707	0.417133545633975	0.44234018830953	0.548587808921267	0.401136985694968	0.255675671658945	0.163468943388094	0.378448000959475	0.285651468364059	0.102857305716855	0.32782643769127
Rhamnus.erythroxylon	0.624417937151636	0.369007769150215	0.346807202680645	0.289694417958134	0.340205575298061	0.412862766988547	0.51976810353726	0.307119498343393	0.511146662646024	0.315740912081025	0.587926681547598	0.368373943477304	0.542712801519303	0.442033172906881	0.780723491646108	0.722915803334718	0.651813442462848	0.642908716765174	0.75025420743255	0.559193493208077	0.636163400866611	0.348429784459992	0.658578772265303	0.588664712250556	0.34113747363465	0.41412445417867	0.377465652995355	0.236434304682533	0.444591759985311	0	0.384315612358628	0.480387825028439	0.278278287967252	0.160581890782533	0.210518066852918	0.402244239783023	0.391971225070512	0.465008821518878	0.499792939232617	0.551723202394746	0.448762373216284	0.324411238092813	0.400936167885153	0.436208154192685	0.675729840334853	0.320506268437386	0.362874454054267	0.424819805272873	0.449313703712471	0.375332364832549	0.367778382381918	0.342492238322238	0.358365866122896	0.242612510924057	0.407690967976164	0.474814247959951	0.714912856183593	0.623126449057322	0.487563957831347	0.590016177696093	0.672561868851424	0.662544248158531	0.681726669920871	0.493426434273432	0.424105936817047	0.524661228458983	0.500148983290803	0.607502637392065	0.489384410281506	0.627290310380803
Rhamnus.globosa	0.446219092538599	0.123767659399642	0.142518524967967	0.272151078950275	0.052842383792075	0.114913965240465	0.306613823501867	0.053196406793161	0.100129168614148	0.231257335435141	0.401210931039551	0.337218167194172	0.315678121939539	0.189324105069517	0.635730097577831	0.499278633317633	0.34176221672957	0.404594614635605	0.542308309798261	0.312028060761847	0.223325784405569	0.209137250611136	0.305345735840354	0.213255511933743	0.0500322639165223	0.0951852196007791	0.177369501390945	0.0939927535349726	0.177382376299543	0.384315612358628	0	0.164850664770819	0.0817050955363746	0.186672653038453	0.194016014839792	0.173810760527427	0.137364371410055	0.151389384151293	0.292944468422084	0.185268843034978	0.179095485275056	0.0903919614228622	0.0608661611769281	0.193043646191027	0.370447640155929	0.0454662410000903	0.137671836252525	0.0446996179472539	0.214153700105251	0.0376382050486468	0.0956081375520293	0.0330611561553817	0.120482266362709	0.121429721698572	0.0822724085820535	0.166516024323634	0.371589787079826	0.251915463355293	0.187045191452461	0.204328520724789	0.425352055935619	0.44198036096918	0.470426549135489	0.292138007749502	0.156081849769956	0.185496790521008	0.309571302495016	0.298117601360418	0.146279422092713	0.331513736700106
Rhamnus.hainanensis	0.431236986385742	0.28392140798298	0.306559656362272	0.328415486525032	0.180038277302614	0.273020144688835	0.297194282731696	0.237064224562398	0.212153505824405	0.358382305593005	0.456519972071928	0.547173919409988	0.403872190798337	0.281541896448298	0.648668236798938	0.498002689427529	0.368065559666357	0.421717043413641	0.577193005674749	0.399319048628481	0.303279326589366	0.462271489326903	0.352382869452838	0.456513246996496	0.261579801667962	0.21226061414758	0.270379413624065	0.228180947084852	0.0254746478737141	0.480387825028439	0.164850664770819	0	0.227695558951584	0.315905340700193	0.283664766011107	0.313001514133374	0.275790665748469	0.136048067046283	0.426707033217983	0.179024911701548	0.0299013494475666	0.239195551337588	0.187154769928189	0.338154939366993	0.401597306159596	0.214918666887637	0.156418153171805	0.208294971536381	0.0898395625268062	0.156739143946388	0.108439353182217	0.150353327647621	0.132151241597813	0.223311753360998	0.129156911877702	0.0772040018223019	0.392980997153879	0.273649115768691	0.314499499234983	0.256856630070294	0.430745546573984	0.47493155564992	0.555032869971794	0.412330012234443	0.273016209697226	0.181777937836296	0.393277929717603	0.302076832816931	0.128869878045604	0.349782812970472
Rhamnus.koraiensis	0.493295776106308	0.169732299019085	0.188210260425651	0.326941942709795	0.0944618926681164	0.183388994140567	0.360448369200016	0.101030115911612	0.183771822754651	0.263341723102238	0.448336052131065	0.316031483420806	0.374983336807128	0.250269402138841	0.672653659438177	0.587382221141707	0.447644058996418	0.458166605933704	0.582859440047222	0.368397011889757	0.317646453489816	0.227211616754973	0.387223851965872	0.31692919457346	0.0879941163524977	0.181839050630416	0.246863167287438	0.115049806046192	0.243001675587186	0.278278287967252	0.0817050955363746	0.227695558951584	0	0.123337446267919	0.209865571969965	0.215619412713204	0.18669860947574	0.230583414455833	0.32867742875182	0.257263005559258	0.246251112211037	0.141009117980581	0.128301000517544	0.231139432053618	0.433074266412144	0.11670351972248	0.197106994741927	0.126998724882847	0.278705300410738	0.0869732837776546	0.154964966450446	0.0882209664111215	0.169855590218302	0.148874677472939	0.131412027176723	0.237799629796065	0.457708193389152	0.334089716894791	0.250698935606359	0.264949818934462	0.482397011694085	0.491394961458508	0.495186923566967	0.337305614184463	0.221497411410213	0.262878331419083	0.354253354218584	0.372649243365492	0.236877919689931	0.397711178701855
Rhamnus.leptophylla	0.5983133333588	0.257870807453926	0.264346432661332	0.39052352135124	0.182227217626142	0.271169646015684	0.487018437660472	0.169629340733995	0.309685407791148	0.15786039573222	0.531426324950847	0.34533140524181	0.466438021985672	0.355741116818944	0.740681161303919	0.668188739688717	0.552955710555723	0.567480967445008	0.679472311222505	0.469282652053404	0.427182066848632	0.241188599021947	0.511793634006306	0.355510550197422	0.165256918052914	0.289211813233263	0.338147039368673	0.15380897490078	0.323775992498973	0.160581890782533	0.186672653038453	0.315905340700193	0.123337446267919	0	0.110810842280072	0.30916375010104	0.29148607843916	0.387343011134075	0.417225313200702	0.416880898903489	0.322344651899983	0.232647480984255	0.248218257265187	0.33096489741828	0.553194024166804	0.202663067684331	0.148005839976226	0.232290461624596	0.297724979889825	0.176307936678493	0.159492874013546	0.201237841127328	0.129516245565385	0.0800177890873809	0.196700432423599	0.254600018857287	0.564714460043465	0.473054377163737	0.34583988465162	0.243096619132166	0.589205355493269	0.599195608396075	0.571325387313391	0.412306604604388	0.31550051637335	0.407451090404489	0.436476591592695	0.496768170565458	0.385618691321893	0.525579945345852
Rhamnus.longipes	0.549077680171316	0.239969198900833	0.241750863346278	0.306977989178007	0.166696425853844	0.261192804775829	0.463634641790163	0.153195759326662	0.292615260342107	0.0712461354925112	0.494617789369283	0.389344779177992	0.436685914760171	0.317464757290545	0.724729706627785	0.606863252211609	0.504041556764402	0.551732021348811	0.658478887008323	0.433839886671454	0.41572026322995	0.19915228784889	0.503804198051453	0.347203289186833	0.162527227015735	0.251579151211157	0.292894893588641	0.132178402651161	0.266302644550636	0.210518066852918	0.194016014839792	0.283664766011107	0.209865571969965	0.110810842280072	0	0.283787455663593	0.27158659730672	0.32772468731225	0.399582839827865	0.375820821928663	0.272619595390111	0.201419786894584	0.222192517529932	0.322474360911074	0.528499041934788	0.17724412019081	0.0955484129322759	0.235083911438843	0.244352493875649	0.170358479215198	0.146431974773885	0.175553253825096	0.119496181179556	0.0878658228569033	0.195602900522734	0.221544455887936	0.540135365907922	0.438017595100856	0.337967842594259	0.25236959963939	0.558026811388809	0.580560894996874	0.599409433819626	0.400008766608493	0.295600812159791	0.36957129772547	0.418551969605826	0.46364684205949	0.325069488696349	0.491263055260042
Rhamnus.napalensis	0.347891284165218	0.0487469720994625	0.0737784331918682	0.25691448064697	0.196204495376484	0.107970920745798	0.214602930269923	0.198221064034672	0.182156486598741	0.347753692280173	0.336154012768581	0.229054932614197	0.247261146171462	0.106114633902565	0.58465260103856	0.444294366906007	0.301132264627666	0.365930215554014	0.450054396405648	0.207793022267526	0.241744820682259	0.246750015794009	0.302201753408383	0.318336798268736	0.184453757425865	0.11987143196169	0.0839913222274079	0.199998795760013	0.30239423501408	0.402244239783023	0.173810760527427	0.313001514133374	0.215619412713204	0.30916375010104	0.283787455663593	0	0.0518068662018115	0.183148389597518	0.134844222547439	0.189052397609997	0.281535294630916	0.0879812500028094	0.115477459529723	0.0694014600938849	0.307747948116914	0.16653673740276	0.29350045813543	0.177872137397261	0.332865714386727	0.192783373420233	0.251234016076939	0.146310186187351	0.276714269643126	0.265046046130216	0.248321701647983	0.3206790157457	0.373969576105693	0.197938732672997	0.148578153953452	0.374669529795276	0.366812426610974	0.323075838628567	0.457918907283845	0.218983269715987	0.105608416892779	0.214468391606724	0.240438701330784	0.2689924677363	0.258595111726023	0.234340695901467
Rhamnus.oreodendron	0.344253475457944	0.0445231250373616	0.0780718767891955	0.233137222333935	0.151977388326166	0.0891997231602265	0.178590378347947	0.167880092747386	0.133742454947367	0.332636847035026	0.338718500136497	0.217243353623673	0.229695552411863	0.102372574147777	0.561115786865884	0.429517101141135	0.262265469541048	0.332401041784123	0.43337723376169	0.20334790042774	0.216337565513909	0.230833876671413	0.25289807465026	0.270158074186022	0.150155518438654	0.0681040544611909	0.0602270724378345	0.180369293002433	0.258865118691154	0.391971225070512	0.137364371410055	0.275790665748469	0.18669860947574	0.29148607843916	0.27158659730672	0.0518068662018115	0	0.136709177762384	0.140558935334382	0.132552676935043	0.243433746537236	0.0720306745827641	0.078865932056657	0.0444686650222308	0.282527951245855	0.121347903626904	0.261767738897664	0.115053538016351	0.305392348039892	0.15123538319042	0.21923430070102	0.124301217985595	0.245695602295446	0.233739962500878	0.203264148711222	0.289716728666001	0.351159750642317	0.186059558956201	0.133080946624109	0.332503254159625	0.355509362478398	0.293138912621432	0.417370122225941	0.219128772163783	0.103119106316602	0.154017982677292	0.236508939413124	0.247202181851625	0.206802230941638	0.216001502915186
Rhamnus.parvifolia	0.327985743994898	0.188736552333786	0.2132993527344	0.182645213687427	0.167343434908731	0.212266953386441	0.178659678572558	0.22175298116694	0.172425965991133	0.418067273813506	0.376498146882717	0.43908086723775	0.30010273389773	0.173291829322108	0.571487268177552	0.417654448052861	0.27223877243377	0.334604577337669	0.460449427489949	0.27289698282644	0.268300647299302	0.379756963937283	0.274539716151873	0.419252032870154	0.224872584273959	0.122311953412128	0.14765868241508	0.226397110305334	0.11691809772123	0.465008821518878	0.151389384151293	0.136048067046283	0.230583414455833	0.387343011134075	0.32772468731225	0.183148389597518	0.136709177762384	0	0.276958804481202	0.0649321263125791	0.113412866437183	0.117515932099982	0.091493688107931	0.191747107870303	0.298707227992815	0.146602458067273	0.255331875533952	0.146029187429515	0.180827330453144	0.172609881946737	0.212796081752151	0.115780820157589	0.234233361715213	0.296247286275475	0.193043657451758	0.193214763709831	0.350685648921412	0.184958337571871	0.237026765195505	0.354386611182201	0.348974758557755	0.329973662864702	0.49173014798526	0.327911731392074	0.194434074375255	0.101683558791176	0.310477246356951	0.232646847761007	0.0696579322580559	0.229684127448216
