row ID,Alphitonia philippinensis (1),Berchemia floribunda (2),Berchemia giraldiana (3),Berchemia hirtella (4),Berchemia huana (5),Berchemia kulingensis (6),Berchemia lineata (7),Berchemia loureiroana (8),Berchemia sinica (9),Berchemia yunnanensis (10),Ceanothus asiaticus (11),Colubrina arborescens (12),Colubrina asiatica (13),Colubrina pubescens (14),Colubrina spinosa (15),Gouania leptostachya (16),Guoania javanica (17),Gouania leptostachya (18),Gouania hypoglauca (19),Gouania polygama (20),Hovenia acerba (21),Hovenia acerba var. kiukiangensis (22),Karwinskia calderonii (23),Krugiodendron ferreum (24),Paliurus perforatus (25),Rhamnella franguloides (26),Rhamnella tonkinensis (27),Rhamnus crenata (28),Rhamnus davurica (29),Rhamnus diamantiaca (30),Rhamnus erythroxylon (31),Rhamnus globosa (32),Rhamnus hainanensis (33),Rhamnus koraiensis (34),Rhamnus leptophylla (35),Rhamnus longipes (36),Rhamnus napalensis (37),Rhamnus oreodendron (38),Rhamnus parvifolia (39),Rhamnus rosthornii (40),Rhamnus sphaerosperma (41),Rhamnus subapetala (42),Rhamnus utilis (43),Sageretia pauciflora (44),Sageretia thea (45),Scutia eberhardtia (46),Scutia myrtina (47),Ventilago calyculata (48),Ventilago calyculata var. trichoclada (49),Ventilago cristata (50),Ventilago denticulate (51),Ventilago inaequilateralis (52),Ventilago leiocarpa (53),Ventilago leiocarpa var. pubescens (54),Ventilago maderaspatana (55),Ventilago oblongifolia (56),Ventilago pauciflora (57),Ziziphus apetala (58),Ziziphus attopensis (59),Ziziphus cambodiana (60),Ziziphus funiculosa (61),Ziziphus guatemalensis (62),Ziziphus horsfieldii (63),Ziziphus incurva (64),Ziziphus mauritiana (65),Ziziphus oenopolia (66),Ziziphus poilaneo (67),Ziziphus rotundifolia (68),Ziziphus rugosa (69),Ziziphus rugosa var. harmandii (70),Ziziphus thyrsiflora (71)
22,30.654,35.74560242,26.52,40.239,127.158,67.58545898,23.04,0,26.01,42.93,16.83,16.224,142.6424271,426.834,222.555,93.396,33,19.575,123.69,289.4289328,100.116,10.14,168.48,162.414,132.489,24.366,39.039,17.34,15.717,16.83,17.745,25.74,31.536,19.7100791,9.072,175.392,11.88,59.4,63.585,14.79,102.12,22.62,114.57,24.336,39.64482312,183304.8876,112.2356396,68.037,16.731,0,31.62,24.273,23.46,15.84,16.32,12.825,21.95459106,62.601,70.24109473,39.933,201.888,264.7567449,33.261,61.116,97.11,144.9488135,14.79,85.83769006,38.07,87.927,26.856
23,505.1446317,17466.42902,17440.57865,8662.373988,71.6769,264.2132281,837.0733181,1898.391078,215.5543295,974.4763588,36.4338,34.0452,43.85684379,20.9979,23.13139719,2691.939362,410.8341151,5255.012582,162.4856506,20.2635,15.4734,38.5548,1707.420475,48.7557,2290.168911,41.1147,394.7276042,711.6026115,50.3478,135.0798,35.86380186,161.4366365,31.341,219.0177541,36.432,1833.485693,12.2184,573.3244129,114.4617,11.2104,264.1538728,35.3892,50.44534321,182911.2161,1431.297466,175.7124683,1762.450054,356.6771127,38.0646,48.599716,156.0936,132.5637837,10485.8725,35.547,59.7051,68.85,1670.567487,4104.033953,649.0585288,237.9789311,430.3755,10.8264,98.17572292,1628.956527,102.0456,167.0056365,29.9745,12.927,26.91,11.0346,63.26799045
24,399.43385,48.5553,0,235.431,10.038,177.7608,0,36.19685398,7.0482,22.1526,67.2804,13.209,777.9458548,29.0385,377749.4888,315572.3083,7030.064298,316617.4274,31923.55944,421857.2773,3626.475533,852.8901253,60.43520306,50.0742,141.6426,73.554,32.448,5.9856,26.4732,44.2173,150.1704,30.3186,66.981,77.934,17.7408,7.8078,15.8184,21.06,44.4276,44.304,90.0552,30.222,41.973,11.154,18.147,6948.183598,43.9074,27.192,115.8096,10.17,0,9.6471,0,74.7478916,13.6971,0,12.5895,214.5031107,700.0836996,162.902932,60.8193,11658.71159,123.0459,1994.907147,323.0334,39496.86443,4841.427602,1008.109612,552.0269867,6443.773779,325.875999
25,43.7076,0,17.82,0,0,31.32,7.4718,0,0,19.362,73.983,0,21.483,39.9789,105.234,234.2764014,6.4368,66.0582,21.801,177229.8842,68.0166,7.122,0,55.7622,0,23.4552,0,0,145.1622,36.4194,0,12.1536,17.043,0,0,18.198,0,0,21.7107,0,0,0,0,27.489,44.5875,0,0,6.4368,0,0,0,0,0,0,0,0,0,0,0,33.6906,10.17,282.2412,10.188,7.17,23.4405,16.9488,37.629,36.9792,0,0,1642.2891
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177180.2845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,12.168,0,211.446,18.792,10.2,42.981,73.299,12.168,132.198,40.64616486,56.709,154.275,15.39,65.49,79.449,0,21.06,27.918,143.712,39.144,66.3,33.495,50.7,89.577,11.22,72.63,32.103,40.194,24.336,42.471,30.24,22.896,0,20.223,0,111.348,0,32.655,33.15,31.494,92.661,17.16,17.16,43.29,52.326,30.912,10.2,15.18,23.577,14.28,25.938,11.22,12.24,26.001,0,13.86,16.2,16.2,17.388,34.32,30.267,35.06576779,115.227,134.82,14.364,25.038,28.194,15.68955048,43.524,17.727,175573.5506
28,135.8135144,0,0,17.808,12.2184,18.792,45.7083,17.745,9.1344,7.188,7.194,17.745,16.8495,15.351,222.96,47.3742,0,54.39,76.188,93.9204,106.1457,82.14,30.3615,72.1989,36.3375,28.476,15.7824,11.8206,23.472,12.8844,9.072,59.90480713,0,21.9051,42.9825,14.5878,16.7805,0,0,0,19.404,44.64,25.0857,15.3615,104.832,67.14,16.7805,33.0135,15.255,28.5525,6.831,25.9986,0,9.6795,10.0212,14.58980546,11.8305,16.2912,47.8008,56.304,30.4152,79.875,175045.3162,27.792,139.4154,109.3092,8.2455,23.94,61.6284,6.7659,190.332
29,174596.0031,139.9494,98.6568,24.564,41.3424,48.5961,20.7255,37.8741,57.1761,194.1444015,78.624,50.0664,18.17193439,60.9579,1121.324362,12.1896,52.2984,15.7476,0,5.6052,35.0235,180.9945,14.0562,63.567,118.161,14.9031,21.0834,146.7009,0,63.612,76.79336387,88.0245,22.4664,36.45072957,15.3252,151.4991,232.3548,49.97256775,106.8310406,12.5475,19.23336844,0,108.5292,23.1843,190.2213,38.6712,19.65,55.98,11.0949,44.9511,17.982,29.6766,26.8389,26.0568,26.58,12.342,9.075,18.9423,64.4634,6.3,14.4486,12.663,13.1121,44.8008,27.477,204.2292,20.553,16.68,12.7725,6.0639,255.8676
30,4.7472,32.388,25.7715,7.7478,6.93,13.7619,15.9705,17.841,130.5609,5.751,16.968,300.2841664,15.27547203,238.689,30.3195,164.7864,74.3268,32.517,34.1897525,20.0208,13.65,0,8.532,207.5574,45.5715,119.7054,43.25981528,14.2464,40.03345545,12.735,164.5272,149.864867,18.5172,57.1593,117.276,34.56943588,21.4164,11.781,5.2125,47.1927,15.939,10.9392,29.9547,15.18,14.0166,138.213264,29.0154,20.37151069,11.1135,78.18584326,22.4694,8.1315,52.896,36.7848,13.623,47.547,22.8852,0,11.7936,13.7943,171968.1259,28.5192,72.5478,20.3238,5.678547359,7.392,50.5569,996.4063829,26.4732,6.237,166.8228
31,1607.373185,10.755,0,12.2112,6.8058,14.2716,17.82,11.826,24.9444,9.1638,28.9725,0,18.4968,17.2224,27.918,172263.5624,2197.927988,171133.4397,15.9,766.848,13.7772,10.6029,0,12.132,9.6729,359.3976,169.6545,0,0,24.3474,25.7598,22.392,0,187.5345,0,6.399,0,0,22.7976,0,24.702,0,0,0,50.28236046,73.7919,0,4.761,741.7266538,0,0,0,0,0,0,0,23.508,15.309,16.8696,36.96,12.2184,252.8706001,14.0166,13.7538,33.9336,32.58,25.9875,10.0815,19.4904,0,132.2607
