	Alphitonia.philippinensis..1.	Berchemia.floribunda..2.	Berchemia.giraldiana..3.	Berchemia.hirtella..4.	Berchemia.huana..5.	Berchemia.kulingensis..6.	Berchemia.lineata..7.	Berchemia.loureiroana..8.	Berchemia.sinica..9.	Berchemia.yunnanensis..10.	Ceanothus.asiaticus..11.	Colubrina.arborescens..12.	Colubrina.asiatica..13.	Colubrina.pubescens..14.	Colubrina.spinosa..15.	Gouania.hypoglauca..19.	Gouania.leptostachya..16.	Gouania.leptostachya..18.	Gouania.polygama..20.	Guoania.javanica..17.	Hovenia.acerba..21.	Hovenia.acerba.var..kiukiangensis..22.	Karwinskia.calderonii..23.	Krugiodendron.ferreum..24.	Paliurus.perforatus..25.	Rhamnella.franguloides..26.	Rhamnella.tonkinensis..27.	Rhamnus.crenata..28.	Rhamnus.davurica..29.	Rhamnus.diamantiaca..30.	Rhamnus.erythroxylon..31.	Rhamnus.globosa..32.	Rhamnus.hainanensis..33.	Rhamnus.koraiensis..34.	Rhamnus.leptophylla..35.	Rhamnus.longipes..36.	Rhamnus.napalensis..37.	Rhamnus.oreodendron..38.	Rhamnus.parvifolia..39.	Rhamnus.rosthornii..40.	Rhamnus.sphaerosperma..41.	Rhamnus.subapetala..42.	Rhamnus.utilis..43.	Sageretia.pauciflora..44.	Sageretia.thea..45.	Scutia.eberhardtia..46.	Scutia.myrtina..47.	Ventilago.calyculata..48.	Ventilago.calyculata.var..trichoclada..49.	Ventilago.cristata..50.	Ventilago.denticulate..51.	Ventilago.inaequilateralis..52.	Ventilago.leiocarpa..53.	Ventilago.leiocarpa.var..pubescens..54.	Ventilago.maderaspatana..55.	Ventilago.oblongifolia..56.	Ventilago.pauciflora..57.	Ziziphus.apetala..58.	Ziziphus.attopensis..59.	Ziziphus.cambodiana..60.	Ziziphus.funiculosa..61.	Ziziphus.guatemalensis..62.	Ziziphus.horsfieldii..63.	Ziziphus.incurva..64.	Ziziphus.mauritiana..65.	Ziziphus.oenopolia..66.	Ziziphus.poilaneo..67.	Ziziphus.rotundifolia..68.	Ziziphus.rugosa..69.	Ziziphus.rugosa.var..harmandii..70.	Ziziphus.thyrsiflora..71.
Paliurus.perforatus..25.	0.590721494668108	0.181283341094201	0.166698088504844	0.165084163270447	0.103559658970107	0.148060110967795	0.215464048803601	0.151248207248448	0.149350121474792	0.25357177834114	0.474459283091346	0.317678203499099	0.39310456355013	0.319725063651004	0.709765633714834	0.518199449668131	0.533200509796696	0.570889218624228	0.727521372368149	0.308450984349271	0.272285717769695	0.575070523234169	0.158254183627318	0.215369580668088	0	0.292634100114988	0.178074777627016	0.130737590905501	0.229874437337124	0.174925202167855	0.294445821832146	0.226887783305694	0.223504149952417	0.196544596201383	0.292909568142315	0.210700242039679	0.208910273195426	0.175457937584803	0.175937439426245	0.286513365711127	0.20838237384506	0.256128448665762	0.21096171233241	0.1924327113424	0.222610919566302	0.698788514748808	0.181752387886352	0.124672658773496	0.177939686891103	0.13715735050239	0.136687311740617	0.172512032141965	0.168079505385693	0.104377206935842	0.159346793864347	0.118359590934218	0.1873181931907	0.521625071566769	0.387804490382907	0.394506633499171	0.179419587331201	0.691901257373436	0.405945882360683	0.599252015783153	0.545156163626313	0.402898233524901	0.366431202764802	0.54218143516651	0.53298758623638	0.426062884664822	0.579589911743011
Rhamnella.franguloides..26.	0.321369482872766	0.28140293964516	0.268456507121462	0.309011697711914	0.29800172727002	0.335105694641602	0.27133855981417	0.32591447803879	0.335058223831538	0.44782207102161	0.246288489989492	0.331112592240641	0.183663878830665	0.152290077037298	0.421942766953294	0.243641630649328	0.266546250890199	0.30231242344796	0.446623205327798	0.110362776797962	0.111198693569569	0.313067999557547	0.24595572449231	0.222214879784266	0.292634100114988	0	0.205391194171682	0.258115416652002	0.408891274338429	0.370689874516565	0.480668323294529	0.405158515077214	0.357836768440324	0.388184537505752	0.491377935702978	0.376219537140143	0.412827189926035	0.294839510083413	0.391352197937564	0.0706444526566478	0.3332158343012	0.403123394220955	0.420684696642885	0.390929447430068	0.412620520012191	0.406579120373414	0.27861014324429	0.305816879597367	0.266811303499332	0.300074298011888	0.328119190140096	0.325989212925397	0.363388511138926	0.302109258337481	0.223965200416592	0.304380135071192	0.379373582120334	0.258750625080656	0.166404397442412	0.202948924078793	0.188307866337592	0.413374213440949	0.160770879038155	0.346767174629874	0.285154379573291	0.184510044662887	0.180557421100383	0.287701590963786	0.267528341032605	0.224170054200542	0.301062867810525
Rhamnella.tonkinensis..27.	0.506015501592425	0.223230332885505	0.205475051264525	0.229890770270517	0.203548904798905	0.256983726150393	0.230238095238095	0.261728808825583	0.263295277707042	0.373020190657986	0.380952574211503	0.20956228956229	0.312864853011912	0.233845142199573	0.614540245504371	0.430260035956757	0.448949058486096	0.48893082875539	0.636078490067852	0.241972992713733	0.240891796112384	0.492543547722119	0.117676767676768	0.108105314226004	0.178074777627016	0.205391194171682	0	0.12840367965368	0.307372134038801	0.286158343374838	0.403726970703715	0.319809203142536	0.293033971678039	0.313397145307523	0.407693912248368	0.313770027223635	0.344326725905673	0.229545454545455	0.298962842712843	0.209032587782588	0.269886724386724	0.340858585858586	0.332195055511382	0.284590578912613	0.280895888980995	0.601401208854039	0.208143455460529	0.232539506563897	0.105560561887093	0.225243188184365	0.230852797995655	0.239217221135029	0.289356253239748	0.21293599257885	0.145459067536532	0.188793490460157	0.306096209086863	0.442318196849447	0.325673278544372	0.357686190260817	0.137275996572872	0.599992618748379	0.339445346320346	0.517293625914316	0.467961832252877	0.34654511051862	0.351699051584548	0.468850668850669	0.451029196367542	0.386464262687667	0.49350368942072
Rhamnus.crenata..28.	0.534114905749521	0.152732580318787	0.143834744690008	0.162907252147758	0.142828005328005	0.17149303885415	0.173783068783069	0.185504041955655	0.169825000707354	0.28441811724292	0.413045527554456	0.269339225589226	0.317938665365136	0.226036700641131	0.64150188895144	0.455914778148385	0.475218120357009	0.509821217606305	0.662399821415779	0.246219358487877	0.208809736015618	0.521732460661032	0.094050024050024	0.131879654508965	0.130737590905501	0.258115416652002	0.12840367965368	0	0.251130351130351	0.192315242508541	0.317531908229583	0.251951258617925	0.229030009538484	0.223923307649723	0.324060501288224	0.229122595617441	0.253033752310068	0.158038720538721	0.221743626743627	0.224969937469937	0.218313852813853	0.27953823953824	0.241913240765282	0.222893584757992	0.255974640017193	0.623785417063719	0.143133424840742	0.167739752343411	0.164711252466354	0.163576238576239	0.163073170216027	0.199125962824593	0.236580086580087	0.146505016147873	0.118705541328781	0.120234086900754	0.246873946406657	0.456403694684945	0.329001463669432	0.338478557788259	0.110971696127946	0.629923203396706	0.338028599486933	0.527896016818431	0.482720730761776	0.341686197356727	0.300762830963213	0.479896763646764	0.461970470006184	0.361678781226654	0.511064993352111
Rhamnus.davurica..29.	0.606983555380991	0.223212419764144	0.219095212779423	0.231501878337321	0.197502497502497	0.175228475228475	0.227354697771364	0.17926267281106	0.163128483716719	0.179381302084714	0.500623189090451	0.371803350970018	0.436429302360675	0.424818407096888	0.709987248813856	0.524953838410123	0.54740237471719	0.589668194054159	0.729611046295443	0.415728715728716	0.322707466825114	0.596611208456446	0.262953342953343	0.302806389013286	0.229874437337124	0.408891274338429	0.307372134038801	0.251130351130351	0	0.135834535834536	0.143915903218229	0.0858569825236492	0.125675642624795	0.136276473933707	0.164852675743765	0.136589756177385	0.151432200028691	0.201304713804714	0.124486531986532	0.381017516434183	0.157409371492705	0.149260862594196	0.131554061018347	0.0966946502963452	0.193234097134806	0.70575574553562	0.262490761271249	0.222442191954387	0.332531011442576	0.182014767186336	0.162048004905148	0.224180240104898	0.122955631208058	0.192257610114753	0.291619752183132	0.22257696007696	0.111129991503823	0.557999639249639	0.444730492549503	0.415363867291728	0.279609838464005	0.698428694818864	0.446436588103255	0.615860465630581	0.562684084388064	0.444954326190529	0.391120217074415	0.548147454814121	0.54981724392752	0.441143450717919	0.591215317379801
Rhamnus.diamantiaca..30.	0.564165272343306	0.142427660126736	0.14246132944044	0.165671780913853	0.134483161931616	0.0889594204743117	0.206948382016037	0.13042497400246	0.088197813489657	0.149656244644677	0.457218138544077	0.411565086307354	0.372578177892004	0.353244253462836	0.683209411390032	0.492882594139566	0.507323087692503	0.542005452730719	0.700965150043347	0.326752607623169	0.267665187495388	0.550109784463614	0.225057645676202	0.277619851708903	0.174925202167855	0.370689874516565	0.286158343374838	0.192315242508541	0.135834535834536	0	0.181705121911307	0.105806287387043	0.126172170772905	0.0664388066060892	0.204991971951245	0.095332187857961	0.104187186178505	0.16247531463382	0.0768068014459767	0.34210523869029	0.123697021764032	0.153998750390503	0.112047361900087	0.117343135052378	0.227637465748894	0.679269057036028	0.176418847859318	0.158630428535508	0.290170118120886	0.202408446196348	0.172829575922359	0.206778031082508	0.136239282020485	0.119585242458954	0.192917297600033	0.173499574992273	0.134284888442322	0.484495343097147	0.36145416244784	0.375220760458874	0.249782282973327	0.661788932400363	0.380570783105147	0.559727455859699	0.518599941301511	0.363656298868288	0.336611054274547	0.515625212841708	0.492206953318495	0.395285968448943	0.549477586769938
Rhamnus.erythroxylon..31.	0.629717081930856	0.265386133068571	0.27109984262983	0.27114681021069	0.250333645682483	0.217956605553505	0.291980108742463	0.218652430964884	0.205122720922995	0.0666325139590109	0.556351843062806	0.479725270422945	0.490725902764206	0.467181126203793	0.74527327112581	0.574559150131014	0.573118582776205	0.607165091885614	0.761915960457524	0.447903422063629	0.377308391056681	0.619645911336111	0.327150128080361	0.371848627181426	0.294445821832146	0.480668323294529	0.403726970703715	0.317531908229583	0.143915903218229	0.181705121911307	0	0.127021040974529	0.203179478115426	0.149029440648572	0.0774389731331937	0.212139406762998	0.130711274309806	0.269788870152242	0.147923755830733	0.442414244885175	0.21574052540913	0.189924801727127	0.0963249705566981	0.152045154986621	0.237938549987041	0.753821120374433	0.339718103161098	0.25991005591119	0.430906050127692	0.2505235362879	0.233255786910272	0.275023050174372	0.213282167436604	0.242252017085904	0.34531426283801	0.271448566506706	0.136645645241603	0.566238823264017	0.466265791785868	0.436706578770966	0.356715222022271	0.72796365191071	0.512994750010254	0.628444690537714	0.582708802792975	0.45245799913134	0.411169440851671	0.57450586799424	0.560287531305192	0.47318316407876	0.613114218978949
Rhamnus.globosa..32.	0.575267898451659	0.184825153560786	0.189382716049383	0.217299131560735	0.183931623931624	0.146831275720165	0.222872574955908	0.152615349604597	0.143945430023861	0.13578302712161	0.480864040060469	0.399120437175993	0.41542328042328	0.400923805058826	0.6953485024636	0.522516986150866	0.519393004115226	0.553108078839073	0.7120677761517	0.375285126396237	0.301015665525469	0.561909695977156	0.248847202180535	0.320024022380344	0.226887783305694	0.405158515077214	0.319809203142536	0.251951258617925	0.0858569825236492	0.105806287387043	0.127021040974529	0	0.0873673761197301	0.0833203553958271	0.171343007316605	0.123678672945569	0.11598440545809	0.168848404681738	0.0885334829779274	0.375448132114799	0.125492063492063	0.0786907434129656	0.0975856488980072	0.0783723931087396	0.238166535329656	0.704305513959602	0.261929281197574	0.207539467458167	0.346052622107044	0.164585754054708	0.153092831624578	0.191620783100996	0.123695256359766	0.170311161501638	0.264791713242417	0.216635802469136	0.0884842341228634	0.507393077601411	0.381571789113022	0.384903261470426	0.285865299823633	0.674826139137455	0.423183421516755	0.58591173549028	0.529702567409864	0.386048136857555	0.350010366600697	0.526727838950061	0.517433928737187	0.419848399564712	0.563395254268617
Rhamnus.hainanensis..33.	0.538865209106409	0.14243550137764	0.144323945456862	0.174254962658739	0.165906127770535	0.146003347980749	0.197168079096045	0.139166601577755	0.130308149625198	0.194117048928206	0.454306108036435	0.372405552702163	0.388868711326338	0.374130321512857	0.658237331567118	0.471159316741423	0.485215326976156	0.517101860898322	0.67566508680645	0.333190346655507	0.266515796525767	0.529025375686998	0.216513561767799	0.294871420222092	0.223504149952417	0.357836768440324	0.293033971678039	0.229030009538484	0.125675642624795	0.126172170772905	0.203179478115426	0.0873673761197301	0	0.120463474804696	0.236452797822155	0.0914571944451378	0.151786245274202	0.124733105877174	0.139231785163989	0.334696388827745	0.094364406779661	0.0774368381148042	0.160193340855309	0.118361581920904	0.272567101128226	0.660435606925853	0.235765139733722	0.182674199623352	0.318084861063069	0.144603787842821	0.139188965460152	0.177402972643279	0.10591378891527	0.163085149313963	0.228956223214996	0.200447269303201	0.139589509176077	0.473574959644875	0.355504927739104	0.360611390183867	0.243278349475383	0.637712003883018	0.370692464054046	0.558227505496646	0.494283659721302	0.352690363944433	0.320264433888447	0.491882639297893	0.477449146473933	0.387908345210906	0.525572637462949
Rhamnus.koraiensis..34.	0.569958452287915	0.146556737167505	0.147287105341971	0.180909589773335	0.158020019812473	0.106191442140953	0.22148407082959	0.134778859809292	0.0931957216849004	0.110789806934511	0.478313719355667	0.433331858567708	0.402455825097334	0.380468741114788	0.683023518090994	0.510350109731489	0.516203287744168	0.549306595454394	0.703921450555332	0.346256641487249	0.28403346663613	0.55915923287554	0.238644191238531	0.307509023453233	0.196544596201383	0.388184537505752	0.313397145307523	0.223923307649723	0.136276473933707	0.0664388066060892	0.149029440648572	0.0833203553958271	0.120463474804696	0	0.177773218696533	0.110542657379362	0.0792112750429533	0.181044014947317	0.0518821639576356	0.363737611968744	0.13303766097634	0.129359634076615	0.0791481394893986	0.116405500479693	0.23775014655936	0.691105121293801	0.221037041906807	0.168398965660816	0.315638351027743	0.204896565544457	0.182225916491415	0.223837370306096	0.146004304817732	0.144869703646658	0.229097883949399	0.187843270606635	0.114421744716225	0.4894494983528	0.372766190055031	0.388035339922132	0.267229030959868	0.668165656402549	0.391910002994909	0.570957880224308	0.521076371660714	0.376219706300613	0.339824111986722	0.522336291817424	0.504661164366442	0.411560506713056	0.550031894469358
